frame_id,target_id,class_name,x1,y1,x2,y2,bbox_height_px,depth_score,distance_m
12,90,car,974.39,446.29,1018.75,482.0,35.71,0.1228,22.42
12,91,car,771.58,438.82,806.31,462.73,23.91,0.0944,35.25
12,92,car,557.26,451.56,615.68,509.18,57.62,0.1929,33.8
12,93,car,510.31,466.93,557.69,515.86,48.92,0.2232,30.66
12,94,car,554.0,464.15,584.89,506.91,42.77,0.1987,23.22
12,95,car,1192.68,434.47,1247.62,473.88,39.41,0.1962,26.26
13,96,car,145.2,462.43,516.83,596.73,134.3,0.3392,21.27
13,97,car,1094.18,467.34,1335.64,601.23,133.89,0.3025,15.14
13,98,car,588.26,463.4,703.27,540.63,77.23,0.2248,10.38
13,99,car,859.92,451.2,915.72,496.67,45.47,0.1513,16.11
13,100,car,771.4,443.13,803.93,466.98,23.85,0.1164,29.64
13,101,car,976.45,449.87,1030.02,493.49,43.62,0.1439,33.59
13,102,car,469.98,472.66,526.32,523.56,50.9,0.2365,32.52
13,103,car,425.18,472.28,525.11,526.82,54.54,0.2472,23.12
13,104,car,528.27,459.5,592.48,516.23,56.73,0.2085,20.96
13,105,car,810.33,445.42,843.95,465.94,20.52,0.1163,32.49
13,106,car,663.99,431.28,733.33,488.98,57.71,0.15,32.28
14,107,car,58.75,460.39,494.38,618.58,158.2,0.4204,27.86
14,108,car,1126.92,468.42,1426.7,623.2,154.78,0.365,11.28
14,109,car,565.39,465.88,689.33,547.46,81.58,0.2458,9.21
14,110,car,861.03,452.85,915.27,494.86,42.01,0.1522,16.11
14,111,car,984.17,451.85,1039.1,498.51,46.66,0.153,22.01
14,112,car,771.08,443.98,801.34,467.67,23.69,0.1174,33.79
14,113,car,500.93,459.04,576.01,523.58,64.54,0.2351,30.47
14,114,car,385.87,473.12,501.78,531.67,58.55,0.2871,28.56
14,115,car,424.41,472.5,502.24,527.01,54.51,0.2656,19.03
14,116,car,652.98,437.37,724.18,495.24,57.87,0.1658,19.82
14,117,car,1226.24,439.25,1289.53,469.85,30.6,0.212,25.86
14,118,car,445.91,472.94,502.69,525.61,52.66,0.258,26.11
15,119,car,1159.7,462.42,1555.11,649.47,187.05,0.4515,21.38
15,120,car,5.04,462.49,503.7,643.49,181.0,0.4438,10.97
15,121,car,534.59,465.19,671.19,556.88,91.69,0.2493,7.95
15,122,car,863.03,453.78,912.01,491.19,37.41,0.1321,16.39
15,123,car,769.47,444.44,800.79,468.26,23.82,0.1034,30.79
15,124,car,987.49,449.19,1046.18,496.82,47.63,0.138,34.81
15,125,car,478.53,458.57,557.61,531.06,72.49,0.2419,29.65
15,126,car,717.25,446.0,750.56,480.35,34.34,0.1219,24.58
15,127,car,643.14,448.56,712.78,497.84,49.27,0.1576,24.28
15,128,car,815.36,445.39,840.03,465.46,20.07,0.1002,38.52
16,129,car,1198.69,468.37,1599.29,685.53,217.16,0.5219,28.83
16,130,car,59.39,458.78,587.35,652.68,193.91,0.4371,22.87
16,131,car,861.66,458.67,907.27,493.52,34.85,0.1395,14.52
16,132,car,520.08,470.92,666.02,562.68,91.75,0.2736,16.98
16,133,car,767.67,448.59,802.11,475.52,26.93,0.1157,29.56
16,134,car,986.63,455.58,1054.29,501.86,46.28,0.1538,26.79
16,135,car,472.25,461.09,542.57,503.47,42.38,0.1979,31.7
16,136,car,634.64,452.57,709.58,502.71,50.14,0.1641,24.93
16,137,car,809.51,449.78,838.7,470.64,20.86,0.1135,35.25
16,138,car,715.35,451.06,750.09,487.15,36.09,0.1302,37.0
17,139,car,1241.94,479.81,1599.27,720.87,241.06,0.6007,30.76
17,140,car,198.81,463.17,707.91,656.44,193.27,0.4885,13.95
17,141,car,862.38,463.89,904.28,496.93,33.03,0.1863,14.77
17,142,car,998.14,462.9,1058.42,509.76,46.86,0.1991,21.47
17,143,car,769.63,459.77,801.71,483.12,23.35,0.1749,36.04
17,144,car,630.4,446.66,715.67,510.22,63.56,0.2342,30.42
18,145,car,1272.32,481.45,1599.01,755.16,273.71,0.6712,23.52
18,146,car,339.32,463.42,806.43,653.61,190.18,0.4763,8.99
18,147,car,861.9,467.71,900.31,498.54,30.83,0.1802,15.46
18,148,car,226.95,492.46,379.83,590.45,97.99,0.4257,17.89
18,149,car,997.04,467.49,1060.47,516.98,49.49,0.2015,23.71
18,150,car,768.7,462.59,800.09,490.02,27.43,0.1692,25.29
19,151,car,520.03,462.71,897.25,636.5,173.8,0.4336,23.69
19,152,car,1312.01,486.36,1599.14,797.71,311.35,0.6706,17.09
19,153,car,198.53,495.06,406.34,596.34,101.28,0.3988,6.68
19,154,car,387.32,484.92,556.94,605.83,120.91,0.4059,7.6
19,155,car,1002.93,468.9,1062.44,518.78,49.88,0.1865,14.17
19,156,car,859.6,467.29,898.46,497.95,30.66,0.1643,23.13
19,157,car,1263.43,450.04,1324.01,492.61,42.57,0.182,29.12
19,158,car,1278.94,450.1,1323.22,490.47,40.37,0.1807,30.94
20,159,car,305.47,488.86,596.29,625.44,136.58,0.4134,21.06
20,160,car,1359.66,489.8,1599.17,775.48,285.68,0.7294,13.23
20,161,car,671.79,463.33,944.78,622.6,159.27,0.4075,6.03
20,162,car,162.78,499.4,375.95,605.25,105.84,0.4001,6.8
20,163,car,1001.5,471.68,1067.09,522.77,51.09,0.2226,13.05
20,164,car,1272.12,453.52,1351.78,498.78,45.26,0.2242,19.14
21,165,car,199.4,493.46,564.1,650.43,156.96,0.4795,17.98
21,166,car,769.06,464.29,971.01,604.74,140.45,0.3822,13.16
21,167,car,1434.88,541.46,1599.43,772.2,230.74,0.7746,6.22
21,168,car,1007.17,470.3,1075.49,526.04,55.74,0.2525,10.7
21,169,car,760.43,465.73,797.52,496.51,30.77,0.2297,20.37
21,170,car,701.26,468.62,740.63,504.65,36.03,0.2282,29.44
21,171,car,1303.43,455.04,1366.4,497.33,42.29,0.2567,31.57
21,172,car,123.25,504.58,336.57,616.93,112.35,0.4607,22.47
22,173,car,56.53,498.5,512.57,681.02,182.53,0.5183,13.91
22,174,car,834.41,464.04,981.91,587.35,123.31,0.3238,8.04
22,175,car,1017.95,470.81,1086.92,528.88,58.07,0.2264,11.39
22,176,car,1321.58,456.07,1385.51,499.0,42.93,0.2542,18.2
22,177,car,762.43,465.06,794.54,496.3,31.24,0.172,27.48
22,178,car,696.05,470.13,731.57,507.61,37.48,0.1923,31.14
22,179,car,1185.54,465.87,1239.07,513.66,47.79,0.246,30.27
23,180,car,0.55,506.15,451.83,723.81,217.65,0.5767,19.59
23,181,car,864.91,471.79,993.31,575.45,103.66,0.3018,13.0
23,182,car,1016.1,469.84,1097.67,532.94,63.1,0.2475,11.09
23,183,car,1345.1,454.53,1405.93,499.76,45.22,0.2686,17.77
23,184,car,1505.5,439.95,1599.31,538.87,98.92,0.3126,17.93
23,185,car,760.43,467.7,793.53,497.51,29.81,0.1729,24.82
23,186,car,1404.31,457.8,1470.48,489.8,32.0,0.2579,28.26
23,187,car,699.08,470.3,735.19,507.9,37.6,0.1898,34.67
23,188,car,1466.02,441.2,1550.94,488.31,47.11,0.2687,29.75
23,189,car,1324.52,451.64,1405.83,500.68,49.04,0.2698,25.66
24,190,car,0.43,512.46,369.0,737.1,224.64,0.6039,17.04
24,191,car,886.0,468.45,1000.94,560.83,92.38,0.2707,13.16
24,192,car,759.45,466.71,794.82,497.02,30.31,0.1608,18.22
24,193,car,1035.95,467.71,1112.52,534.27,66.56,0.2419,22.35
24,194,car,1357.64,446.98,1432.06,498.37,51.39,0.2698,25.57
24,195,car,289.93,489.28,432.25,590.7,101.42,0.3566,16.5
24,196,car,693.13,467.99,730.63,513.61,45.62,0.1833,19.22
24,197,car,1000.89,465.94,1114.31,533.24,67.3,0.2408,17.54
24,198,car,1227.58,463.87,1268.41,503.26,39.39,0.2244,23.54
